	DXS6807	DXS9902	DXS6795	DXS6810	DXS10076	DXS10077	DXS10078	DXS10162	DXS10163l	DXS10164	DXS7132	DXS981	DXS6800	DXS6803	DXS6809	DXS6789	DXS6799	DXS7424	DXS101	DXS7133	GATA172D05	DXS10103	HPRTB	GATA31E08	DXS8377	DXS10147	DXS7423
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0.333	0
7	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0.113	0	0.097	0
8	0	0.002	0.002	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0.004	0	0	0	0.113	0	0	0.015	0	0.538	0
9	0	0.007	0.023	0	0	0	0	0	0	0.015	0.001	0	0	0	0	0	0.043	0	0	0.668	0.082	0	0	0.215	0	0.033	0
10	0	0.432	0.133	0	0	0	0	0	0	0.552	0	0	0	0.004	0	0	0.144	0	0	0.273	0.398	0	0.003	0.263	0	0	0
10.3	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0.416	0.378	0.306	0	0	0	0	0	0	0.263	0.001	0.003	0	0.172	0	0	0.566	0.001	0	0.057	0.256	0	0.048	0.301	0	0	0
11.3	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0.004	0.168	0.026	0	0	0	0	0	0	0.128	0.06	0.009	0	0.152	0	0	0.209	0.018	0	0.002	0.071	0	0.276	0.079	0	0	0
12.3	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0.458	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0.027	0.009	0.474	0	0	0	0.002	0	0	0.033	0.195	0.1	0	0.034	0	0	0.033	0.044	0	0	0	0	0.462	0.014	0	0	0.005
13.3	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0
