DXS7424	DXS101	modified
12	23	0.003
12	24	0.003
12	25	0.008
12	26	0.003
13	22	0.003
13	23	0.022
13	24	0.03
13	25	0.008
13	27	0.006
13	30	0.003
14	21	0.003
14	22	0.003
14	23	0.008
14	24	0.055
14	25	0.039
14	26	0.028
14	27	0.008
14	28	0.006
14	29	0.008
15	22	0.003
15	23	0.047
15	24	0.097
15	25	0.05
15	26	0.044
15	27	0.039
15	28	0.011
15	29	0.003
16	21	0.008
16	22	0.036
16	23	0.042
16	24	0.103
16	25	0.091
16	26	0.069
16	27	0.036
16	29	0.006
16	30	0.003
17	22	0.003
17	23	0.006
17	24	0.008
17	25	0.011
17	26	0.011
17	27	0.006
18	20	0.003
18	23	0.006
18	24	0.003
18	26	0.003
19	25	0.006
20	25	0.003
