DXS10076	DXS10077	DXS10078	normalized
23	20	19	0.003
23	21	17	0.006
24	20	18	0.007
24	20	19	0.007
24	21	17	0.047
24	21	18	0.073
24	21	19	0.081
24	21	21	0.084
25	20	14	0.087
25	21	17	0.097
25	21	18	0.105
25	21	20	0.112
25	21	21	0.115
26	20	15	0.121
26	20	16	0.123
26	20	17	0.135
26	20	18	0.143
26	20	19	0.146
26	20	20	0.151
26	21	17	0.154
26	21	18	0.165
26	21	19	0.179
26	21	20	0.187
26	21	21	0.19
27	20	16	0.195
27	20	17	0.21
27	20	18	0.222
27	20	19	0.245
27	20	20	0.269
27	20	21	0.285
27	20	22	0.288
27	21	16	0.289
27	21	17	0.293
27	21	18	0.328
27	21	19	0.371
27	21	20	0.411
27	21	21	0.422
27	21	22	0.43
28	19	16	0.433
28	19	17	0.436
28	20	15	0.438
28	20	16	0.483
28	20	17	0.521
28	20	18	0.561
28	20	19	0.594
28	20	20	0.62
28	20	21	0.641
28	20	22	0.644
28	21	16	0.645
28	21	17	0.652
28	21	18	0.676
28	21	19	0.717
28	21	20	0.739
28	21	21	0.755
28	22	20	0.758
29	20	14	0.761
29	20	15	0.764
29	20	16	0.769
29	20	17	0.783
29	20	18	0.805
29	20	19	0.824
29	20	20	0.828
29	20	21	0.834
29	21	16	0.836
29	21	17	0.843
29	21	18	0.854
29	21	19	0.879
29	21	20	0.887
29	21	21	0.893
30	18	19	0.895
30	20	16	0.898
30	20	17	0.904
30	20	18	0.907
30	20	19	0.918
30	20	20	0.923
30	20	21	0.926
30	20	22	0.929
30	21	16	0.932
30	21	17	0.935
30	21	18	0.936
30	21	19	0.941
30	21	20	0.944
30	21	21	0.947
30	22	19	0.95
30	22	20	0.952
31	18	18	0.958
31	18	19	0.961
31	20	17	0.964
31	20	20	0.966
31	20	21	0.969
31	21	15	0.972
31	21	17	0.978
31	21	20	0.98
31	21	21	0.983
31	21	22	0.986
32	21	17	0.989
32	21	19	0.992
32	21	20	0.994
33	18	19	0.997
34	18	18	1
