DXS7424	DXS101	normalized
12	23	0.003
12	24	0.006
12	25	0.014
12	26	0.017
13	22	0.02
13	23	0.042
13	24	0.072
13	25	0.08
13	27	0.086
13	30	0.089
14	21	0.092
14	22	0.095
14	23	0.103
14	24	0.157
14	25	0.196
14	26	0.224
14	27	0.232
14	28	0.238
14	29	0.246
15	22	0.249
15	23	0.296
15	24	0.392
15	25	0.442
15	26	0.486
15	27	0.525
15	28	0.536
15	29	0.539
16	21	0.547
16	22	0.583
16	23	0.625
16	24	0.727
16	25	0.818
16	26	0.886
16	27	0.922
16	29	0.928
16	30	0.931
17	22	0.934
17	23	0.94
17	24	0.948
17	25	0.959
17	26	0.97
17	27	0.976
18	20	0.979
18	23	0.985
18	24	0.988
18	26	0.991
19	25	0.997
20	25	1
